City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Moresby,-9.4431,147.1797,87.8,70,40,14.97,PG,1613180736
Ust'-Koksa,50.2696,85.6108,-3.28,83,76,1.1,RU,1613180736
Maltahöhe,-24.8333,16.9833,64.81,76,100,7.49,NA,1613180736
Severo-Yeniseyskiy,60.3725,93.0408,-22.29,88,100,4.25,RU,1613180737
San Ramon,37.7799,-121.978,57.99,71,90,8.05,US,1613180458
Vallenar,-28.5708,-70.7581,65.66,59,0,3.71,CL,1613180738
Ous,60.9058,61.5186,-6.56,92,100,2.75,RU,1613180738
Elizabeth City,36.2946,-76.2511,39.2,93,90,14.97,US,1613180589
Cianorte,-23.6633,-52.605,71.6,88,40,3.44,BR,1613180738
Port Hardy,50.6996,-127.4199,35.6,51,90,32.21,CA,1613180707
Kosino,58.4127,51.2782,6.12,94,100,7.34,RU,1613180739
Wichian Buri,15.6578,101.106,80.01,51,0,7.81,TH,1613180739
Kłodzko,50.4349,16.6614,17.01,74,94,3.71,PL,1613180739
Kazygurt,41.7589,69.3864,46.4,71,0,4.61,KZ,1613180740
Kapoeta,4.7717,33.5903,78.91,39,0,3.85,SS,1613180746
Kimberley,-28.7323,24.7623,62.6,77,22,1.14,ZA,1613180746
Gokak,16.1667,74.8333,57.2,54,10,5.86,IN,1613180746
Mkushi,-13.6202,29.3939,62.96,95,100,4.81,ZM,1613180747
Tevaitoa,-16.7833,-151.5,82.08,72,40,11.41,PF,1613180747
Ndungu,-4.3667,38.05,71.56,80,71,2.62,TZ,1613180747
Lubbock,33.6001,-101.8338,21.2,73,90,8.05,US,1613180747
Waitati,-45.75,170.5667,61.0,77,82,25.01,NZ,1613180748
Lompoc,34.6391,-120.4579,55.4,76,1,17.27,US,1613180461
Innisfail,-17.5333,146.0333,84.2,64,100,4.56,AU,1613180737
Saint-François,46.4154,3.9054,24.01,79,0,2.3,FR,1613180748
Shimoda,34.6667,138.95,53.6,76,40,8.05,JP,1613180748
Talas,38.6908,35.5538,35.6,75,75,5.75,TR,1613180749
Tateyama,34.9833,139.8667,55.99,76,40,8.05,JP,1613180749
Nouadhibou,20.931,-17.0347,62.6,82,0,21.85,MR,1613180474
Aniva,46.7144,142.5294,28.4,93,90,4.47,RU,1613180749
Manjacaze,-24.7117,33.8828,74.95,95,100,6.73,MZ,1613180749
Biu,10.6129,12.1946,64.49,27,5,5.28,NG,1613180750
Marystown,47.1666,-55.1483,26.85,93,0,20.15,CA,1613180750
Ust-Kuyga,70.0167,135.6,-10.41,84,100,3.02,RU,1613180750
Gerāsh,27.6652,54.1371,44.6,42,0,0.72,IR,1613180750
Lac du Bonnet,50.2536,-96.0612,-20.0,73,100,3.13,CA,1613180750
Maceió,-9.6658,-35.7353,75.2,94,40,3.44,BR,1613180751
Turukhansk,65.8167,87.9833,-30.69,78,0,5.84,RU,1613180751
Isangel,-19.55,169.2667,82.4,83,75,4.9,VU,1613180751
Valvedditturai,9.8167,80.1667,76.24,81,50,8.57,LK,1613180751
Huilong,31.8111,121.655,60.01,81,8,1.01,CN,1613180752
Gijang,35.2442,129.2139,50.0,46,0,2.3,KR,1613180752
Hokitika,-42.7167,170.9667,61.41,69,100,7.2,NZ,1613180752
Codrington,-38.2667,141.9667,66.02,54,2,10.63,AU,1613180605
Atchison,39.563,-95.1216,1.0,77,100,12.35,US,1613180753
Bolgatanga,10.7856,-0.8514,77.59,16,0,7.61,GH,1613180600
Taunggyi,20.7833,97.0333,63.57,44,55,0.65,MM,1613180753
Linhares,-19.3911,-40.0722,72.46,94,100,0.74,BR,1613180753
Mount Gambier,-37.8333,140.7667,64.4,59,90,10.36,AU,1613180753
Portland,45.5234,-122.6762,27.0,74,90,21.85,US,1613180135
Aranos,-24.1333,19.1167,67.82,76,100,8.75,NA,1613180754
Togitsu,32.8333,129.85,57.2,58,40,4.61,JP,1613180754
Biloela,-24.4167,150.5,87.94,39,11,7.83,AU,1613180610
Claresholm,50.0333,-113.5852,-4.0,71,89,5.75,CA,1613180755
Saldanha,-33.0117,17.9442,65.57,93,0,6.08,ZA,1613180755
Camargo,27.6667,-105.1667,63.81,27,0,10.51,MX,1613180755
Blagoveshchenka,52.8333,79.8667,-19.1,84,0,6.02,RU,1613180755
Pedersore,63.65,22.6833,25.0,93,0,4.61,FI,1613180756
Tazovsky,67.4667,78.7,-36.62,83,61,5.55,RU,1613180639
Ossora,59.2353,163.0719,1.27,83,0,12.41,RU,1613180756
Wukari,7.85,9.7833,72.97,19,85,4.59,NG,1613180756
Lüderitz,-26.6481,15.1594,63.0,87,26,6.98,NA,1613180757
Pathein,16.7833,94.7333,76.05,52,93,5.3,MM,1613180757
Boromlya,50.6184,34.9704,5.86,93,100,15.43,UA,1613180757
Itarema,-2.9248,-39.9167,79.72,82,68,11.03,BR,1613180627
Kingsville,27.5159,-97.8561,41.0,81,90,12.66,US,1613180758
Okhotsk,59.3833,143.3,16.07,92,100,4.29,RU,1613180758
Bereket,39.2446,55.5154,49.32,62,0,14.38,TM,1613180758
Kununurra,-15.7667,128.7333,91.4,58,40,11.5,AU,1613180498
Sijunjung,-0.6876,100.9537,79.07,82,99,0.98,ID,1613180758
Otane,-39.8833,176.6333,78.01,42,0,1.99,NZ,1613180759
Fairbanks,64.8378,-147.7164,6.8,72,1,1.45,US,1613180643
Olinda,-8.0089,-34.8553,78.8,73,40,10.36,BR,1613180505
Naryan-Mar,67.6713,53.087,-15.79,86,79,1.14,RU,1613180759
Guangming,45.3333,122.7833,23.4,79,100,9.8,CN,1613180759
Ust'-Ilimsk,58.0006,102.6619,-7.98,89,100,7.23,RU,1613180760
Sal Rei,16.1833,-22.9167,68.0,77,20,17.27,CV,1613180760
Maromitsa,59.8683,48.0123,-4.34,91,100,8.88,RU,1613180760
Zabul Province,32.25,67.25,41.18,56,9,2.39,AF,1613180760
Salamiyah,35.0113,37.0532,46.78,87,0,4.45,SY,1613180761
Margate,51.3813,1.3862,30.0,58,4,8.01,GB,1613180761
Samarai,-10.6167,150.6667,84.15,66,27,8.63,PG,1613180761
Sorsk,54.0033,90.2467,-12.66,84,9,2.42,RU,1613180761
Queimadas,-10.9783,-39.6264,73.51,67,0,8.77,BR,1613180567
Socorro,31.6546,-106.3033,64.4,19,75,3.44,US,1613180762
Sayyan,15.1718,44.3244,49.32,47,64,2.17,YE,1613180762
Akdepe,42.0551,59.3788,28.4,74,0,2.3,TM,1613180762
Ayr,55.4627,-4.6339,27.0,63,0,13.8,GB,1613180762
Sembakung,3.8167,117.25,82.4,83,40,4.61,ID,1613180763
Tanout,14.9709,8.8879,66.2,23,0,10.47,NE,1613180763
Geraldton,-28.7667,114.6,89.6,27,100,13.8,AU,1613180763
Druzhba,52.0428,33.9453,6.08,95,100,8.57,UA,1613180764
Malakanagiri,18.35,81.9,65.23,69,8,1.03,IN,1613180765
Gizo Government Station,-8.103,156.8419,83.52,75,100,11.07,SB,1613180766
Nanjangūd,12.1197,76.6828,62.6,67,20,1.81,IN,1613180766
Nogliki,51.8333,143.1667,21.6,97,98,6.8,RU,1613180766
Moranbah,-22.0016,148.0466,86.59,39,4,3.13,AU,1613180766
Ballina,-28.8667,153.5667,86.0,58,93,3.44,AU,1613180767
Vol'sk,52.0333,47.3833,29.77,98,100,9.48,RU,1613180767
Sheregesh,52.9209,87.9869,-11.02,90,25,2.3,RU,1613180767
Manado,1.487,124.8455,80.6,89,40,6.91,ID,1613180767
Buala,-8.145,159.5921,80.51,84,100,12.21,SB,1613180537
Clyde River,70.4692,-68.5914,-0.4,92,100,23.02,CA,1613180768
Sørland,67.667,12.6934,35.42,82,100,17.9,NO,1613180541
Jinzhou,41.1078,121.1417,40.05,82,100,6.06,CN,1613180768
Chikwawa,-16.0335,34.8009,74.28,86,100,4.36,MW,1613180768
Tambacounda,13.7539,-13.7586,81.21,13,37,10.49,SN,1613180768
Qinggang,46.6833,126.0833,17.29,93,100,5.75,CN,1613180769
Fare,-16.7,-151.0167,81.97,72,22,10.29,PF,1613180769
Albanel,48.8832,-72.4487,6.8,78,100,9.22,CA,1613180769
Saryozek,44.3583,77.9753,32.07,97,100,1.86,KZ,1613180770
Najrān,17.4924,44.1277,55.4,44,0,2.06,SA,1613180772
Simao,22.7886,100.9748,61.72,54,8,1.79,CN,1613180772
La Asuncion,11.0333,-63.8628,75.74,87,6,15.26,VE,1613180774
Goderich,43.7501,-81.7165,12.2,79,93,8.05,CA,1613180707
Bangangté,5.1409,10.5198,62.85,87,42,4.0,CM,1613180762
Coahuayana Viejo,18.7333,-103.6833,66.2,72,40,1.14,MX,1613180774
Aquiraz,-3.9014,-38.3911,82.4,78,40,9.22,BR,1613180775
Gonaïves,19.45,-72.6833,74.7,77,1,5.86,HT,1613180775
Gamboula,4.1178,15.1393,66.9,30,39,1.79,CF,1613180776
Sept-Îles,50.2001,-66.3821,19.4,53,90,8.05,CA,1613180777
Dawlatabad,36.4141,64.9053,47.75,62,0,1.97,AF,1613180778
Starychi,49.98,23.5585,5.0,85,0,11.18,UA,1613180779
Casas Grandes,30.3667,-107.95,60.01,21,5,13.0,MX,1613180779
Sakaiminato,35.55,133.2333,51.8,58,40,1.14,JP,1613180782
Puerto Plata,19.7934,-70.6884,75.2,83,20,11.5,DO,1613180534
Darnah,32.767,22.6367,54.77,70,0,4.0,LY,1613180642
Santa Cruz de la Sierra,-17.8,-63.1667,69.8,94,60,2.3,BO,1613180786
Los Llanos de Aridane,28.6585,-17.9182,62.6,72,20,10.36,ES,1613180786
Funadhoo,6.15,73.2667,80.85,65,100,9.24,MV,1613180786
Wawa,9.9022,4.4192,76.12,19,0,6.08,NG,1613180787
Conde,-7.2597,-34.9075,75.2,100,90,4.61,BR,1613180788
Ransang,8.9603,117.5828,81.16,81,68,11.86,PH,1613180788
Trat,12.5,102.5,84.99,51,0,0.45,TH,1613180788
Seguin,29.5688,-97.9647,33.8,75,90,14.97,US,1613180789
Velikiy Ustyug,60.7644,46.3106,-7.89,89,100,7.9,RU,1613180789
Sterling,39.0062,-77.4286,30.2,69,90,3.44,US,1613180530
Bolobo,-2.1667,16.2333,74.46,87,58,3.87,CD,1613180789
Grand Gaube,-20.0064,57.6608,75.0,82,1,4.0,MU,1613180790
Coffs Harbour,-30.3,153.1333,82.4,65,75,8.05,AU,1613180790
Alofi,-19.0595,-169.9187,86.0,70,75,11.5,NU,1613180499
Sangar,63.9242,127.4739,-1.57,92,100,6.06,RU,1613180793
Douentza,14.9951,-2.9517,69.71,20,21,2.37,ML,1613180793
Novyy Svit,47.8059,38.0211,16.61,84,100,17.74,UA,1613180793
Mlonggo,-6.5333,110.7,80.6,83,20,3.44,ID,1613180794
Colares,38.7992,-9.4469,52.0,93,0,4.61,PT,1613180559
Nampula,-15.1165,39.2666,75.2,88,75,12.66,MZ,1613180794
Baoding,38.8511,115.4903,49.19,50,100,5.57,CN,1613180794
Arrondissement de Nogent-le-Rotrou,48.3333,1.0,24.01,73,0,6.91,FR,1613180794
Sibu,2.3,111.8167,77.0,94,40,4.61,MY,1613180794
Kamaishi,39.2667,141.8833,32.0,74,75,2.3,JP,1613180794
Penzance,50.1186,-5.5371,39.99,75,90,31.07,GB,1613180794
Solwezi,-12.1688,26.3894,61.2,97,100,5.88,ZM,1613180794
Igrim,63.1906,64.4162,-13.18,90,100,3.02,RU,1613180794
Aksarayskiy,46.7924,48.0119,41.0,100,75,3.2,RU,1613180795
Flin Flon,54.7682,-101.865,-26.66,83,22,0.45,CA,1613180707
Kerman,30.2832,57.0788,32.0,40,0,1.1,IR,1613180795
Cayenne,4.9333,-52.3333,78.8,94,75,4.61,GF,1613180795
Farafangana,-22.8167,47.8333,74.01,90,100,2.57,MG,1613180795
‘Ewa Beach,21.3156,-158.0072,80.6,54,1,9.22,US,1613180795
Vestmanna,62.1564,-7.1664,37.4,65,90,18.41,FO,1613180795
Soc Trang,9.6033,105.98,77.0,94,40,8.05,VN,1613180795
Grand-Santi,4.25,-54.3833,73.85,96,100,3.13,GF,1613180795
Wilmington,34.2257,-77.9447,41.0,93,90,9.22,US,1613180613
Noumea,-22.2763,166.4572,87.8,62,20,9.22,NC,1613180796
Malakal,9.5334,31.6605,73.31,21,0,6.26,SS,1613180796
Ambon City,-3.6954,128.1814,80.6,83,40,5.75,ID,1613180796
Tautira,-17.7333,-149.15,80.6,74,75,23.02,PF,1613180796
Mil'kovo,54.7167,158.6167,9.12,83,0,2.75,RU,1613180796
Rosetta,31.4044,30.4164,55.4,88,0,3.44,EG,1613180796
Assiut,27.181,31.1837,53.6,76,0,9.22,EG,1613180543
Nantucket,41.2835,-70.0995,24.8,68,90,2.57,US,1613180796
Araouane,18.9048,-3.5265,72.61,16,0,9.64,ML,1613180796
Puerto Quijarro,-17.7833,-57.7667,71.89,96,94,2.39,BO,1613180797
Khanpur,28.6453,70.6567,58.01,35,70,5.46,PK,1613180797
Marfino,55.7028,37.3822,5.0,78,90,17.9,RU,1613180797
Biharamulo,-2.6319,31.3089,62.47,97,100,4.38,TZ,1613180522
Gao,16.6362,1.637,71.92,18,0,10.78,ML,1613180797
Takoradze,4.8845,-1.7554,80.38,86,27,7.74,GH,1613180797
Estelle,29.8458,-90.1067,48.99,100,90,11.5,US,1613180797
Port Lincoln,-34.7333,135.8667,68.36,59,26,8.59,AU,1613180797
Mayumba,-3.432,10.6554,79.27,84,99,8.25,GA,1613180797
Buraidah,26.326,43.975,57.2,67,0,8.32,SA,1613180797
Bulungu,-4.55,18.6,71.33,90,72,2.66,CD,1613180798
Kawalu,-7.3817,108.2082,81.81,73,88,1.54,ID,1613180608
Kantang,7.4054,99.5156,80.6,78,20,3.44,TH,1613180798
Lovozero,68.005,35.0117,-4.32,91,100,1.95,RU,1613180798
Porto Belo,-27.1578,-48.5531,75.2,94,40,4.61,BR,1613180798
Esim,4.8699,-2.2405,80.47,86,3,7.14,GH,1613180798
Clarence Town,-32.5833,151.7833,75.2,94,75,4.61,AU,1613180798
Brae,60.3964,-1.353,37.4,48,90,27.63,GB,1613180582
Kampot,10.6167,104.1833,80.6,88,40,1.14,KH,1613180799
Namatanai,-3.6667,152.4333,85.28,69,74,6.44,PG,1613180799
Alugan,12.2188,125.4808,81.21,81,50,0.67,PH,1613180799
Arua,3.0201,30.9111,74.17,39,99,3.2,UG,1613180799
